# samples,smse,msll,nlpd,rmse,mae
300.00000000,0.01441672,-1.55780434,4.00423598,7.56413802,5.11688311
300.00000000,0.01464864,-1.56142283,4.00061749,7.62473659,5.15777611
300.00000000,0.01488265,-1.56498051,3.99705981,7.68539731,5.19887934
300.00000000,0.01511849,-1.56847589,3.99356444,7.74605325,5.24004219
300.00000000,0.01535589,-1.57190755,3.99013277,7.80663302,5.28119205
300.00000000,0.01559454,-1.57527426,3.98676607,7.86706087,5.32231425
300.00000000,0.01583410,-1.57857487,3.98346545,7.92725675,5.36337515
300.00000000,0.01607421,-1.58180845,3.98023187,7.98713649,5.40427428
300.00000000,0.01631449,-1.58497422,3.97706610,8.04661197,5.44499438
300.00000000,0.01655453,-1.58807161,3.97396871,8.10559144,5.48565676
300.00000000,0.01679389,-1.59110026,3.97094006,8.16397979,5.52596701
300.00000000,0.01703211,-1.59406001,3.96798031,8.22167901,5.56585902
300.00000000,0.01726872,-1.59695096,3.96508936,8.27858862,5.60529334
300.00000000,0.01750321,-1.59977344,3.96226688,8.33460627,5.64417422
300.00000000,0.01773507,-1.60252802,3.95951230,8.38962834,5.68242873
300.00000000,0.01796378,-1.60521553,3.95682479,8.44355063,5.72009044
300.00000000,0.01818880,-1.60783703,3.95420330,8.49626913,5.75699644
300.00000000,0.01840959,-1.61039382,3.95164650,8.54768068,5.79309204
300.00000000,0.01862561,-1.61288744,3.94915288,8.59768382,5.82830335
300.00000000,0.01883632,-1.61531966,3.94672066,8.64617943,5.86253419
300.00000000,0.01904119,-1.61769244,3.94434788,8.69307142,5.89571738
300.00000000,0.01923969,-1.62000795,3.94203237,8.73826734,5.92778800
300.00000000,0.01943133,-1.62226854,3.93977178,8.78167891,5.95871931
300.00000000,0.01961562,-1.62447673,3.93756359,8.82322251,5.98845911
300.00000000,0.01979208,-1.62663517,3.93540515,8.86281961,6.01690390
300.00000000,0.01996026,-1.62874668,3.93329365,8.90039718,6.04400105
300.00000000,0.02011977,-1.63081414,3.93122618,8.93588800,6.06970187
300.00000000,0.02027020,-1.63284056,3.92919976,8.96923101,6.09396265
300.00000000,0.02041119,-1.63482900,3.92721132,9.00037159,6.11679052
300.00000000,0.02054244,-1.63678258,3.92525775,9.02926180,6.13810102
300.00000000,0.02066365,-1.63870442,3.92333590,9.05586064,6.15786334
300.00000000,0.02077457,-1.64059768,3.92144264,9.08013420,6.17605160
300.00000000,0.02087500,-1.64246546,3.91957486,9.10205586,6.19264500
300.00000000,0.02096477,-1.64431085,3.91772947,9.12160640,6.20762791
300.00000000,0.02104376,-1.64613687,3.91590345,9.13877404,6.22098990
300.00000000,0.02111189,-1.64794645,3.91409387,9.15355454,6.23272583
300.00000000,0.02116911,-1.64974244,3.91229788,9.16595115,6.24283584
300.00000000,0.02121543,-1.65152757,3.91051275,9.17597456,6.25132525
300.00000000,0.02125091,-1.65330445,3.90873587,9.18364276,6.25820458
300.00000000,0.02127562,-1.65507554,3.90696478,9.18898090,6.26348937
300.00000000,0.02128970,-1.65684319,3.90519713,9.19202105,6.26720781
300.00000000,0.02129332,-1.65860956,3.90343076,9.19280190,6.26938633
300.00000000,0.02128668,-1.66037672,3.90166360,9.19136848,6.27004485
300.00000000,0.02127002,-1.66214653,3.89989379,9.18777170,6.26922425
300.00000000,0.02124362,-1.66392074,3.89811958,9.18206802,6.26696915
300.00000000,0.02120778,-1.66570096,3.89633936,9.17431888,6.26330625
300.00000000,0.02116282,-1.66748866,3.89455166,9.16459028,6.25828021
300.00000000,0.02110911,-1.66928518,3.89275514,9.15295223,6.25202029
